Bank,Year,Metric,Value
Au Small Finance Bank,FY24,Sales,10554.71
Au Small Finance Bank,FY25,Sales,16063.73
Au Small Finance Bank,FY26,Sales,18636.34
Au Small Finance Bank,FY24,Other Mfr. Exp,232.66
Au Small Finance Bank,FY25,Other Mfr. Exp,322.0
Au Small Finance Bank,FY24,Employee Cost,2106.77
Au Small Finance Bank,FY25,Employee Cost,3151.12
Au Small Finance Bank,FY26,Employee Cost,3848.16
Au Small Finance Bank,FY24,Selling and admin,958.81
Au Small Finance Bank,FY25,Selling and admin,1061.08
Au Small Finance Bank,FY24,Other Expenses,1331.11
Au Small Finance Bank,FY25,Other Expenses,2957.12
Au Small Finance Bank,FY26,Other Expenses,4768.41
Au Small Finance Bank,FY24,Other Income,1697.14
Au Small Finance Bank,FY25,Other Income,2526.31
Au Small Finance Bank,FY26,Other Income,2977.94
Au Small Finance Bank,FY24,Depreciation,225.44
Au Small Finance Bank,FY25,Depreciation,258.51
Au Small Finance Bank,FY24,Interest,5397.63
Au Small Finance Bank,FY25,Interest,8052.15
Au Small Finance Bank,FY26,Interest,9523.66
Au Small Finance Bank,FY24,Profit before tax,1999.43
Au Small Finance Bank,FY25,Profit before tax,2788.06
Au Small Finance Bank,FY26,Profit before tax,3474.05
Au Small Finance Bank,FY24,Tax,464.71
Au Small Finance Bank,FY25,Tax,682.13
Au Small Finance Bank,FY26,Tax,832.79
Au Small Finance Bank,FY24,Net profit,1534.72
Au Small Finance Bank,FY25,Net profit,2105.93
Au Small Finance Bank,FY26,Net profit,2641.26
Au Small Finance Bank,FY24,operating profit,7171.62
Au Small Finance Bank,FY25,operating profit,10581.7
Au Small Finance Bank,FY26,operating profit,12997.71
Au Small Finance Bank,FY24,Equity Share Capital,669.16
Au Small Finance Bank,FY25,Equity Share Capital,744.53
Au Small Finance Bank,FY26,Equity Share Capital,748.27
Au Small Finance Bank,FY24,Reserves,11890.37
Au Small Finance Bank,FY25,Reserves,16421.76
Au Small Finance Bank,FY26,Reserves,18984.5
Au Small Finance Bank,FY24,Borrowings,92661.49
Au Small Finance Bank,FY25,Borrowings,135928.44
Au Small Finance Bank,FY26,Borrowings,166532.7
Au Small Finance Bank,FY24,Other Liabilities/current liabiities,4204.65
Au Small Finance Bank,FY25,Other Liabilities/current liabiities,4750.94
Au Small Finance Bank,FY26,Other Liabilities/current liabiities,5532.0
Au Small Finance Bank,FY24,Total,109425.67
Au Small Finance Bank,FY25,Total,157845.67
Au Small Finance Bank,FY26,Total,191797.47
Au Small Finance Bank,FY24,Net Block,784.13
Au Small Finance Bank,FY25,Net Block,825.03
Au Small Finance Bank,FY26,Net Block,1436.38
Au Small Finance Bank,FY24,Capital Work in Progress,67.46
Au Small Finance Bank,FY25,Capital Work in Progress,87.44
Au Small Finance Bank,FY24,Investments,27133.37
Au Small Finance Bank,FY25,Investments,37847.52
Au Small Finance Bank,FY26,Investments,44793.65
Au Small Finance Bank,FY24,Other Assets,81440.71
Au Small Finance Bank,FY25,Other Assets,119085.68
Au Small Finance Bank,FY26,Other Assets,145567.44
Au Small Finance Bank,FY24,Total,109425.67
Au Small Finance Bank,FY25,Total,157845.67
Au Small Finance Bank,FY26,Total,191797.47
Au Small Finance Bank,FY24,Receivables,0.0
Au Small Finance Bank,FY25,Receivables,0.0
Au Small Finance Bank,FY26,Receivables,0.0
Au Small Finance Bank,FY24,Inventory,0.0
Au Small Finance Bank,FY25,Inventory,0.0
Au Small Finance Bank,FY26,Inventory,0.0
Au Small Finance Bank,FY24,Cash & Bank/ Current assets,4102.16
Au Small Finance Bank,FY25,Cash & Bank/ Current assets,8139.66
Au Small Finance Bank,FY26,Cash & Bank/ Current assets,6973.26
Au Small Finance Bank,FY24,Cash from Operating Activity,2608.07
Au Small Finance Bank,FY25,Cash from Operating Activity,5462.41
Au Small Finance Bank,FY26,Cash from Operating Activity,1828.87
Au Small Finance Bank,FY24,Cash from Investing Activity,-4854.76
Au Small Finance Bank,FY25,Cash from Investing Activity,-4779.63
Au Small Finance Bank,FY26,Cash from Investing Activity,-5090.15
Au Small Finance Bank,FY24,Cash from Financing Activity,-802.15
Au Small Finance Bank,FY25,Cash from Financing Activity,2407.25
Au Small Finance Bank,FY26,Cash from Financing Activity,2318.33
Au Small Finance Bank,FY24,Net Cash Flow,-3048.84
Au Small Finance Bank,FY25,Net Cash Flow,3090.03
Au Small Finance Bank,FY26,Net Cash Flow,-942.95
Au Small Finance Bank,FY24,Gross margin,0.4886046135
Au Small Finance Bank,FY25,Gross margin,0.4987372173
Au Small Finance Bank,FY26,Gross margin,0.4889736933
Au Small Finance Bank,FY24,EBITA Margin/operating margin,0.7008302455
Au Small Finance Bank,FY25,EBITA Margin/operating margin,0.6748252118
Au Small Finance Bank,FY26,EBITA Margin/operating margin,0.6974389821
Au Small Finance Bank,FY24,PBT margin,0.1894348589
Au Small Finance Bank,FY25,PBT margin,0.1735624291
Au Small Finance Bank,FY26,PBT margin,0.1864126755
Au Small Finance Bank,FY24,PAT margin,0.1454061741
Au Small Finance Bank,FY25,PAT margin,0.1310984435
Au Small Finance Bank,FY26,PAT margin,0.1417263261
Au Small Finance Bank,FY24,Return on net worth/ROE,0.1221956554
Au Small Finance Bank,FY25,Return on net worth/ROE,0.1226782258
Au Small Finance Bank,FY26,Return on net worth/ROE,0.1338514562
Au Small Finance Bank,FY24,Current ratio/Quick ratio,0.9756246061
Au Small Finance Bank,FY25,Current ratio/Quick ratio,1.713273584
Au Small Finance Bank,FY26,Current ratio/Quick ratio,1.260531453
Capital Small Finance Bank,FY24,Sales,794.33
